"","horsepower_Num","mpg","cylinders","displacement","weight","acceleration","model.year","origin","car.name"
"1",130,18,8,307,3504,12,70,1,"chevrolet chevelle malibu"
"2",165,15,8,350,3693,11.5,70,1,"buick skylark 320"
"3",150,18,8,318,3436,11,70,1,"plymouth satellite"
"4",150,16,8,304,3433,12,70,1,"amc rebel sst"
"5",140,17,8,302,3449,10.5,70,1,"ford torino"
"6",198,15,8,429,4341,10,70,1,"ford galaxie 500"
"7",220,14,8,454,4354,9,70,1,"chevrolet impala"
"8",215,14,8,440,4312,8.5,70,1,"plymouth fury iii"
"9",225,14,8,455,4425,10,70,1,"pontiac catalina"
"10",190,15,8,390,3850,8.5,70,1,"amc ambassador dpl"
"11",170,15,8,383,3563,10,70,1,"dodge challenger se"
"12",160,14,8,340,3609,8,70,1,"plymouth 'cuda 340"
"13",150,15,8,400,3761,9.5,70,1,"chevrolet monte carlo"
"14",225,14,8,455,3086,10,70,1,"buick estate wagon (sw)"
"15",95,24,4,113,2372,15,70,3,"toyota corona mark ii"
"16",95,22,6,198,2833,15.5,70,1,"plymouth duster"
"17",97,18,6,199,2774,15.5,70,1,"amc hornet"
"18",85,21,6,200,2587,16,70,1,"ford maverick"
"19",88,27,4,97,2130,14.5,70,3,"datsun pl510"
"20",46,26,4,97,1835,20.5,70,2,"volkswagen 1131 deluxe sedan"
"21",87,25,4,110,2672,17.5,70,2,"peugeot 504"
"22",90,24,4,107,2430,14.5,70,2,"audi 100 ls"
"23",95,25,4,104,2375,17.5,70,2,"saab 99e"
"24",113,26,4,121,2234,12.5,70,2,"bmw 2002"
"25",90,21,6,199,2648,15,70,1,"amc gremlin"
"26",215,10,8,360,4615,14,70,1,"ford f250"
"27",200,10,8,307,4376,15,70,1,"chevy c20"
"28",210,11,8,318,4382,13.5,70,1,"dodge d200"
"29",193,9,8,304,4732,18.5,70,1,"hi 1200d"
"30",88,27,4,97,2130,14.5,71,3,"datsun pl510"
"31",90,28,4,140,2264,15.5,71,1,"chevrolet vega 2300"
"32",95,25,4,113,2228,14,71,3,"toyota corona"
"34",100,19,6,232,2634,13,71,1,"amc gremlin"
"35",105,16,6,225,3439,15.5,71,1,"plymouth satellite custom"
"36",100,17,6,250,3329,15.5,71,1,"chevrolet chevelle malibu"
"37",88,19,6,250,3302,15.5,71,1,"ford torino 500"
"38",100,18,6,232,3288,15.5,71,1,"amc matador"
"39",165,14,8,350,4209,12,71,1,"chevrolet impala"
"40",175,14,8,400,4464,11.5,71,1,"pontiac catalina brougham"
"41",153,14,8,351,4154,13.5,71,1,"ford galaxie 500"
"42",150,14,8,318,4096,13,71,1,"plymouth fury iii"
"43",180,12,8,383,4955,11.5,71,1,"dodge monaco (sw)"
"44",170,13,8,400,4746,12,71,1,"ford country squire (sw)"
"45",175,13,8,400,5140,12,71,1,"pontiac safari (sw)"
"46",110,18,6,258,2962,13.5,71,1,"amc hornet sportabout (sw)"
"47",72,22,4,140,2408,19,71,1,"chevrolet vega (sw)"
"48",100,19,6,250,3282,15,71,1,"pontiac firebird"
"49",88,18,6,250,3139,14.5,71,1,"ford mustang"
"50",86,23,4,122,2220,14,71,1,"mercury capri 2000"
"51",90,28,4,116,2123,14,71,2,"opel 1900"
"52",70,30,4,79,2074,19.5,71,2,"peugeot 304"
"53",76,30,4,88,2065,14.5,71,2,"fiat 124b"
"54",65,31,4,71,1773,19,71,3,"toyota corolla 1200"
"55",69,35,4,72,1613,18,71,3,"datsun 1200"
"56",60,27,4,97,1834,19,71,2,"volkswagen model 111"
"57",70,26,4,91,1955,20.5,71,1,"plymouth cricket"
"58",95,24,4,113,2278,15.5,72,3,"toyota corona hardtop"
"59",80,25,4,97.5,2126,17,72,1,"dodge colt hardtop"
"60",54,23,4,97,2254,23.5,72,2,"volkswagen type 3"
"61",90,20,4,140,2408,19.5,72,1,"chevrolet vega"
"62",86,21,4,122,2226,16.5,72,1,"ford pinto runabout"
"63",165,13,8,350,4274,12,72,1,"chevrolet impala"
"64",175,14,8,400,4385,12,72,1,"pontiac catalina"
"65",150,15,8,318,4135,13.5,72,1,"plymouth fury iii"
"66",153,14,8,351,4129,13,72,1,"ford galaxie 500"
"67",150,17,8,304,3672,11.5,72,1,"amc ambassador sst"
"68",208,11,8,429,4633,11,72,1,"mercury marquis"
"69",155,13,8,350,4502,13.5,72,1,"buick lesabre custom"
"70",160,12,8,350,4456,13.5,72,1,"oldsmobile delta 88 royale"
"71",190,13,8,400,4422,12.5,72,1,"chrysler newport royal"
"73",150,15,8,304,3892,12.5,72,1,"amc matador (sw)"
"74",130,13,8,307,4098,14,72,1,"chevrolet chevelle concours (sw)"
"75",140,13,8,302,4294,16,72,1,"ford gran torino (sw)"
"76",150,14,8,318,4077,14,72,1,"plymouth satellite custom (sw)"
"77",112,18,4,121,2933,14.5,72,2,"volvo 145e (sw)"
"78",76,22,4,121,2511,18,72,2,"volkswagen 411 (sw)"
"79",87,21,4,120,2979,19.5,72,2,"peugeot 504 (sw)"
"80",69,26,4,96,2189,18,72,2,"renault 12 (sw)"
"81",86,22,4,122,2395,16,72,1,"ford pinto (sw)"
"82",92,28,4,97,2288,17,72,3,"datsun 510 (sw)"
"83",97,23,4,120,2506,14.5,72,3,"toyouta corona mark ii (sw)"
"84",80,28,4,98,2164,15,72,1,"dodge colt (sw)"
"85",88,27,4,97,2100,16.5,72,3,"toyota corolla 1600 (sw)"
"86",175,13,8,350,4100,13,73,1,"buick century 350"
"87",150,14,8,304,3672,11.5,73,1,"amc matador"
"88",145,13,8,350,3988,13,73,1,"chevrolet malibu"
"89",137,14,8,302,4042,14.5,73,1,"ford gran torino"
"90",150,15,8,318,3777,12.5,73,1,"dodge coronet custom"
"91",198,12,8,429,4952,11.5,73,1,"mercury marquis brougham"
"92",150,13,8,400,4464,12,73,1,"chevrolet caprice classic"
"93",158,13,8,351,4363,13,73,1,"ford ltd"
"94",150,14,8,318,4237,14.5,73,1,"plymouth fury gran sedan"
"95",215,13,8,440,4735,11,73,1,"chrysler new yorker brougham"
"96",225,12,8,455,4951,11,73,1,"buick electra 225 custom"
"97",175,13,8,360,3821,11,73,1,"amc ambassador brougham"
"98",105,18,6,225,3121,16.5,73,1,"plymouth valiant"
"99",100,16,6,250,3278,18,73,1,"chevrolet nova custom"
"100",100,18,6,232,2945,16,73,1,"amc hornet"
"101",88,18,6,250,3021,16.5,73,1,"ford maverick"
"102",95,23,6,198,2904,16,73,1,"plymouth duster"
"103",46,26,4,97,1950,21,73,2,"volkswagen super beetle"
"104",150,11,8,400,4997,14,73,1,"chevrolet impala"
"105",167,12,8,400,4906,12.5,73,1,"ford country"
"106",170,13,8,360,4654,13,73,1,"plymouth custom suburb"
"107",180,12,8,350,4499,12.5,73,1,"oldsmobile vista cruiser"
"108",100,18,6,232,2789,15,73,1,"amc gremlin"
"109",88,20,4,97,2279,19,73,3,"toyota carina"
"110",72,21,4,140,2401,19.5,73,1,"chevrolet vega"
"111",94,22,4,108,2379,16.5,73,3,"datsun 610"
"113",85,19,4,122,2310,18.5,73,1,"ford pinto"
"114",107,21,6,155,2472,14,73,1,"mercury capri v6"
"115",90,26,4,98,2265,15.5,73,2,"fiat 124 sport coupe"
"116",145,15,8,350,4082,13,73,1,"chevrolet monte carlo s"
"117",230,16,8,400,4278,9.5,73,1,"pontiac grand prix"
"118",49,29,4,68,1867,19.5,73,2,"fiat 128"
"119",75,24,4,116,2158,15.5,73,2,"opel manta"
"120",91,20,4,114,2582,14,73,2,"audi 100ls"
"121",112,19,4,121,2868,15.5,73,2,"volvo 144ea"
"122",150,15,8,318,3399,11,73,1,"dodge dart custom"
"123",110,24,4,121,2660,14,73,2,"saab 99le"
"124",122,20,6,156,2807,13.5,73,3,"toyota mark ii"
"125",180,11,8,350,3664,11,73,1,"oldsmobile omega"
"126",95,20,6,198,3102,16.5,74,1,"plymouth duster"
"128",100,19,6,232,2901,16,74,1,"amc hornet"
"129",100,15,6,250,3336,17,74,1,"chevrolet nova"
"130",67,31,4,79,1950,19,74,3,"datsun b210"
"131",80,26,4,122,2451,16.5,74,1,"ford pinto"
"132",65,32,4,71,1836,21,74,3,"toyota corolla 1200"
"133",75,25,4,140,2542,17,74,1,"chevrolet vega"
"134",100,16,6,250,3781,17,74,1,"chevrolet chevelle malibu classic"
"135",110,16,6,258,3632,18,74,1,"amc matador"
"136",105,18,6,225,3613,16.5,74,1,"plymouth satellite sebring"
"137",140,16,8,302,4141,14,74,1,"ford gran torino"
"138",150,13,8,350,4699,14.5,74,1,"buick century luxus (sw)"
"139",150,14,8,318,4457,13.5,74,1,"dodge coronet custom (sw)"
"140",140,14,8,302,4638,16,74,1,"ford gran torino (sw)"
"141",150,14,8,304,4257,15.5,74,1,"amc matador (sw)"
"142",83,29,4,98,2219,16.5,74,2,"audi fox"
"143",67,26,4,79,1963,15.5,74,2,"volkswagen dasher"
"144",78,26,4,97,2300,14.5,74,2,"opel manta"
"145",52,31,4,76,1649,16.5,74,3,"toyota corona"
"146",61,32,4,83,2003,19,74,3,"datsun 710"
"147",75,28,4,90,2125,14.5,74,1,"dodge colt"
"148",75,24,4,90,2108,15.5,74,2,"fiat 128"
"149",75,26,4,116,2246,14,74,2,"fiat 124 tc"
"150",97,24,4,120,2489,15,74,3,"honda civic"
"151",93,26,4,108,2391,15.5,74,3,"subaru"
"152",67,31,4,79,2000,16,74,2,"fiat x1.9"
"153",95,19,6,225,3264,16,75,1,"plymouth valiant custom"
"154",105,18,6,250,3459,16,75,1,"chevrolet nova"
"155",72,15,6,250,3432,21,75,1,"mercury monarch"
"156",72,15,6,250,3158,19.5,75,1,"ford maverick"
"157",170,16,8,400,4668,11.5,75,1,"pontiac catalina"
"158",145,15,8,350,4440,14,75,1,"chevrolet bel air"
"159",150,16,8,318,4498,14.5,75,1,"plymouth grand fury"
"160",148,14,8,351,4657,13.5,75,1,"ford ltd"
"161",110,17,6,231,3907,21,75,1,"buick century"
"162",105,16,6,250,3897,18.5,75,1,"chevroelt chevelle malibu"
"163",110,15,6,258,3730,19,75,1,"amc matador"
"164",95,18,6,225,3785,19,75,1,"plymouth fury"
"165",110,21,6,231,3039,15,75,1,"buick skyhawk"
"166",110,20,8,262,3221,13.5,75,1,"chevrolet monza 2+2"
"167",129,13,8,302,3169,12,75,1,"ford mustang ii"
"168",75,29,4,97,2171,16,75,3,"toyota corolla"
"169",83,23,4,140,2639,17,75,1,"ford pinto"
"170",100,20,6,232,2914,16,75,1,"amc gremlin"
"171",78,23,4,140,2592,18.5,75,1,"pontiac astro"
"172",96,24,4,134,2702,13.5,75,3,"toyota corona"
"173",71,25,4,90,2223,16.5,75,2,"volkswagen dasher"
"174",97,24,4,119,2545,17,75,3,"datsun 710"
"175",97,18,6,171,2984,14.5,75,1,"ford pinto"
"176",70,29,4,90,1937,14,75,2,"volkswagen rabbit"
"177",90,19,6,232,3211,17,75,1,"amc pacer"
"178",95,23,4,115,2694,15,75,2,"audi 100ls"
"179",88,23,4,120,2957,17,75,2,"peugeot 504"
"180",98,22,4,121,2945,14.5,75,2,"volvo 244dl"
"181",115,25,4,121,2671,13.5,75,2,"saab 99le"
"182",53,33,4,91,1795,17.5,75,3,"honda civic cvcc"
"183",86,28,4,107,2464,15.5,76,2,"fiat 131"
"184",81,25,4,116,2220,16.9,76,2,"opel 1900"
"185",92,25,4,140,2572,14.9,76,1,"capri ii"
"186",79,26,4,98,2255,17.7,76,1,"dodge colt"
"187",83,27,4,101,2202,15.3,76,2,"renault 12tl"
"188",140,17.5,8,305,4215,13,76,1,"chevrolet chevelle malibu classic"
"189",150,16,8,318,4190,13,76,1,"dodge coronet brougham"
"190",120,15.5,8,304,3962,13.9,76,1,"amc matador"
"191",152,14.5,8,351,4215,12.8,76,1,"ford gran torino"
"192",100,22,6,225,3233,15.4,76,1,"plymouth valiant"
"193",105,22,6,250,3353,14.5,76,1,"chevrolet nova"
"194",81,24,6,200,3012,17.6,76,1,"ford maverick"
"195",90,22.5,6,232,3085,17.6,76,1,"amc hornet"
"196",52,29,4,85,2035,22.2,76,1,"chevrolet chevette"
"197",60,24.5,4,98,2164,22.1,76,1,"chevrolet woody"
"198",70,29,4,90,1937,14.2,76,2,"vw rabbit"
"199",53,33,4,91,1795,17.4,76,3,"honda civic"
"200",100,20,6,225,3651,17.7,76,1,"dodge aspen se"
"201",78,18,6,250,3574,21,76,1,"ford granada ghia"
"202",110,18.5,6,250,3645,16.2,76,1,"pontiac ventura sj"
"203",95,17.5,6,258,3193,17.8,76,1,"amc pacer d/l"
"204",71,29.5,4,97,1825,12.2,76,2,"volkswagen rabbit"
"205",70,32,4,85,1990,17,76,3,"datsun b-210"
"206",75,28,4,97,2155,16.4,76,3,"toyota corolla"
"207",72,26.5,4,140,2565,13.6,76,1,"ford pinto"
"208",102,20,4,130,3150,15.7,76,2,"volvo 245"
"209",150,13,8,318,3940,13.2,76,1,"plymouth volare premier v8"
"210",88,19,4,120,3270,21.9,76,2,"peugeot 504"
"211",108,19,6,156,2930,15.5,76,3,"toyota mark ii"
"212",120,16.5,6,168,3820,16.7,76,2,"mercedes-benz 280s"
"213",180,16.5,8,350,4380,12.1,76,1,"cadillac seville"
"214",145,13,8,350,4055,12,76,1,"chevy c10"
"215",130,13,8,302,3870,15,76,1,"ford f108"
"216",150,13,8,318,3755,14,76,1,"dodge d100"
"217",68,31.5,4,98,2045,18.5,77,3,"honda accord cvcc"
"218",80,30,4,111,2155,14.8,77,1,"buick opel isuzu deluxe"
"219",58,36,4,79,1825,18.6,77,2,"renault 5 gtl"
"220",96,25.5,4,122,2300,15.5,77,1,"plymouth arrow gs"
"221",70,33.5,4,85,1945,16.8,77,3,"datsun f-10 hatchback"
"222",145,17.5,8,305,3880,12.5,77,1,"chevrolet caprice classic"
"223",110,17,8,260,4060,19,77,1,"oldsmobile cutlass supreme"
"224",145,15.5,8,318,4140,13.7,77,1,"dodge monaco brougham"
"225",130,15,8,302,4295,14.9,77,1,"mercury cougar brougham"
"226",110,17.5,6,250,3520,16.4,77,1,"chevrolet concours"
"227",105,20.5,6,231,3425,16.9,77,1,"buick skylark"
"228",100,19,6,225,3630,17.7,77,1,"plymouth volare custom"
"229",98,18.5,6,250,3525,19,77,1,"ford granada"
"230",180,16,8,400,4220,11.1,77,1,"pontiac grand prix lj"
"231",170,15.5,8,350,4165,11.4,77,1,"chevrolet monte carlo landau"
"232",190,15.5,8,400,4325,12.2,77,1,"chrysler cordoba"
"233",149,16,8,351,4335,14.5,77,1,"ford thunderbird"
"234",78,29,4,97,1940,14.5,77,2,"volkswagen rabbit custom"
"235",88,24.5,4,151,2740,16,77,1,"pontiac sunbird coupe"
"236",75,26,4,97,2265,18.2,77,3,"toyota corolla liftback"
"237",89,25.5,4,140,2755,15.8,77,1,"ford mustang ii 2+2"
"238",63,30.5,4,98,2051,17,77,1,"chevrolet chevette"
"239",83,33.5,4,98,2075,15.9,77,1,"dodge colt m/m"
"240",67,30,4,97,1985,16.4,77,3,"subaru dl"
"241",78,30.5,4,97,2190,14.1,77,2,"volkswagen dasher"
"242",97,22,6,146,2815,14.5,77,3,"datsun 810"
"243",110,21.5,4,121,2600,12.8,77,2,"bmw 320i"
"245",48,43.1,4,90,1985,21.5,78,2,"volkswagen rabbit custom diesel"
"246",66,36.1,4,98,1800,14.4,78,1,"ford fiesta"
"247",52,32.8,4,78,1985,19.4,78,3,"mazda glc deluxe"
"248",70,39.4,4,85,2070,18.6,78,3,"datsun b210 gx"
"249",60,36.1,4,91,1800,16.4,78,3,"honda civic cvcc"
"250",110,19.9,8,260,3365,15.5,78,1,"oldsmobile cutlass salon brougham"
"251",140,19.4,8,318,3735,13.2,78,1,"dodge diplomat"
"252",139,20.2,8,302,3570,12.8,78,1,"mercury monarch ghia"
"253",105,19.2,6,231,3535,19.2,78,1,"pontiac phoenix lj"
"254",95,20.5,6,200,3155,18.2,78,1,"chevrolet malibu"
"255",85,20.2,6,200,2965,15.8,78,1,"ford fairmont (auto)"
"256",88,25.1,4,140,2720,15.4,78,1,"ford fairmont (man)"
"257",100,20.5,6,225,3430,17.2,78,1,"plymouth volare"
"258",90,19.4,6,232,3210,17.2,78,1,"amc concord"
"259",105,20.6,6,231,3380,15.8,78,1,"buick century special"
"260",85,20.8,6,200,3070,16.7,78,1,"mercury zephyr"
"261",110,18.6,6,225,3620,18.7,78,1,"dodge aspen"
"262",120,18.1,6,258,3410,15.1,78,1,"amc concord d/l"
"263",145,19.2,8,305,3425,13.2,78,1,"chevrolet monte carlo landau"
"264",165,17.7,6,231,3445,13.4,78,1,"buick regal sport coupe (turbo)"
"265",139,18.1,8,302,3205,11.2,78,1,"ford futura"
"266",140,17.5,8,318,4080,13.7,78,1,"dodge magnum xe"
"267",68,30,4,98,2155,16.5,78,1,"chevrolet chevette"
"268",95,27.5,4,134,2560,14.2,78,3,"toyota corona"
"269",97,27.2,4,119,2300,14.7,78,3,"datsun 510"
"270",75,30.9,4,105,2230,14.5,78,1,"dodge omni"
"271",95,21.1,4,134,2515,14.8,78,3,"toyota celica gt liftback"
"272",105,23.2,4,156,2745,16.7,78,1,"plymouth sapporo"
"273",85,23.8,4,151,2855,17.6,78,1,"oldsmobile starfire sx"
"274",97,23.9,4,119,2405,14.9,78,3,"datsun 200-sx"
"276",125,17,6,163,3140,13.6,78,2,"volvo 264gl"
"277",115,21.6,4,121,2795,15.7,78,2,"saab 99gle"
"278",133,16.2,6,163,3410,15.8,78,2,"peugeot 604sl"
"279",71,31.5,4,89,1990,14.9,78,2,"volkswagen scirocco"
"280",68,29.5,4,98,2135,16.6,78,3,"honda accord lx"
"281",115,21.5,6,231,3245,15.4,79,1,"pontiac lemans v6"
"282",85,19.8,6,200,2990,18.2,79,1,"mercury zephyr 6"
"283",88,22.3,4,140,2890,17.3,79,1,"ford fairmont 4"
"284",90,20.2,6,232,3265,18.2,79,1,"amc concord dl 6"
"285",110,20.6,6,225,3360,16.6,79,1,"dodge aspen 6"
"286",130,17,8,305,3840,15.4,79,1,"chevrolet caprice classic"
"287",129,17.6,8,302,3725,13.4,79,1,"ford ltd landau"
"288",138,16.5,8,351,3955,13.2,79,1,"mercury grand marquis"
"289",135,18.2,8,318,3830,15.2,79,1,"dodge st. regis"
"290",155,16.9,8,350,4360,14.9,79,1,"buick estate wagon (sw)"
"291",142,15.5,8,351,4054,14.3,79,1,"ford country squire (sw)"
"292",125,19.2,8,267,3605,15,79,1,"chevrolet malibu classic (sw)"
"293",150,18.5,8,360,3940,13,79,1,"chrysler lebaron town @ country (sw)"
"294",71,31.9,4,89,1925,14,79,2,"vw rabbit custom"
"295",65,34.1,4,86,1975,15.2,79,3,"maxda glc deluxe"
"296",80,35.7,4,98,1915,14.4,79,1,"dodge colt hatchback custom"
"297",80,27.4,4,121,2670,15,79,1,"amc spirit dl"
"299",125,23,8,350,3900,17.4,79,1,"cadillac eldorado"
"300",71,27.2,4,141,3190,24.8,79,2,"peugeot 504"
"301",90,23.9,8,260,3420,22.2,79,1,"oldsmobile cutlass salon brougham"
"302",70,34.2,4,105,2200,13.2,79,1,"plymouth horizon"
"303",70,34.5,4,105,2150,14.9,79,1,"plymouth horizon tc3"
"304",65,31.8,4,85,2020,19.2,79,3,"datsun 210"
"305",69,37.3,4,91,2130,14.7,79,2,"fiat strada custom"
"306",90,28.4,4,151,2670,16,79,1,"buick skylark limited"
"307",115,28.8,6,173,2595,11.3,79,1,"chevrolet citation"
"308",115,26.8,6,173,2700,12.9,79,1,"oldsmobile omega brougham"
"309",90,33.5,4,151,2556,13.2,79,1,"pontiac phoenix"
"310",76,41.5,4,98,2144,14.7,80,2,"vw rabbit"
"311",60,38.1,4,89,1968,18.8,80,3,"toyota corolla tercel"
"312",70,32.1,4,98,2120,15.5,80,1,"chevrolet chevette"
"313",65,37.2,4,86,2019,16.4,80,3,"datsun 310"
"314",90,28,4,151,2678,16.5,80,1,"chevrolet citation"
"315",88,26.4,4,140,2870,18.1,80,1,"ford fairmont"
"316",90,24.3,4,151,3003,20.1,80,1,"amc concord"
"317",90,19.1,6,225,3381,18.7,80,1,"dodge aspen"
"318",78,34.3,4,97,2188,15.8,80,2,"audi 4000"
"319",90,29.8,4,134,2711,15.5,80,3,"toyota corona liftback"
"320",75,31.3,4,120,2542,17.5,80,3,"mazda 626"
"321",92,37,4,119,2434,15,80,3,"datsun 510 hatchback"
"322",75,32.2,4,108,2265,15.2,80,3,"toyota corolla"
"323",65,46.6,4,86,2110,17.9,80,3,"mazda glc"
"324",105,27.9,4,156,2800,14.4,80,1,"dodge colt"
"325",65,40.8,4,85,2110,19.2,80,3,"datsun 210"
"326",48,44.3,4,90,2085,21.7,80,2,"vw rabbit c (diesel)"
"327",48,43.4,4,90,2335,23.7,80,2,"vw dasher (diesel)"
"329",67,30,4,146,3250,21.8,80,2,"mercedes-benz 240d"
"330",67,44.6,4,91,1850,13.8,80,3,"honda civic 1500 gl"
"332",67,33.8,4,97,2145,18,80,3,"subaru dl"
"333",62,29.8,4,89,1845,15.3,80,2,"vokswagen rabbit"
"334",132,32.7,6,168,2910,11.4,80,3,"datsun 280-zx"
"336",88,35,4,122,2500,15.1,80,2,"triumph tr7 coupe"
"338",72,32.4,4,107,2290,17,80,3,"honda accord"
"339",84,27.2,4,135,2490,15.7,81,1,"plymouth reliant"
"340",84,26.6,4,151,2635,16.4,81,1,"buick skylark"
"341",92,25.8,4,156,2620,14.4,81,1,"dodge aries wagon (sw)"
"342",110,23.5,6,173,2725,12.6,81,1,"chevrolet citation"
"343",84,30,4,135,2385,12.9,81,1,"plymouth reliant"
"344",58,39.1,4,79,1755,16.9,81,3,"toyota starlet"
"345",64,39,4,86,1875,16.4,81,1,"plymouth champ"
"346",60,35.1,4,81,1760,16.1,81,3,"honda civic 1300"
"347",67,32.3,4,97,2065,17.8,81,3,"subaru"
"348",65,37,4,85,1975,19.4,81,3,"datsun 210 mpg"
"349",62,37.7,4,89,2050,17.3,81,3,"toyota tercel"
"350",68,34.1,4,91,1985,16,81,3,"mazda glc 4"
"351",63,34.7,4,105,2215,14.9,81,1,"plymouth horizon 4"
"352",65,34.4,4,98,2045,16.2,81,1,"ford escort 4w"
"353",65,29.9,4,98,2380,20.7,81,1,"ford escort 2h"
"354",74,33,4,105,2190,14.2,81,2,"volkswagen jetta"
"356",75,33.7,4,107,2210,14.4,81,3,"honda prelude"
"357",75,32.4,4,108,2350,16.8,81,3,"toyota corolla"
"358",100,32.9,4,119,2615,14.8,81,3,"datsun 200sx"
"359",74,31.6,4,120,2635,18.3,81,3,"mazda 626"
"360",80,28.1,4,141,3230,20.4,81,2,"peugeot 505s turbo diesel"
"361",76,30.7,6,145,3160,19.6,81,2,"volvo diesel"
"362",116,25.4,6,168,2900,12.6,81,3,"toyota cressida"
"363",120,24.2,6,146,2930,13.8,81,3,"datsun 810 maxima"
"364",110,22.4,6,231,3415,15.8,81,1,"buick century"
"365",105,26.6,8,350,3725,19,81,1,"oldsmobile cutlass ls"
"366",88,20.2,6,200,3060,17.1,81,1,"ford granada gl"
"367",85,17.6,6,225,3465,16.6,81,1,"chrysler lebaron salon"
"368",88,28,4,112,2605,19.6,82,1,"chevrolet cavalier"
"369",88,27,4,112,2640,18.6,82,1,"chevrolet cavalier wagon"
"370",88,34,4,112,2395,18,82,1,"chevrolet cavalier 2-door"
"371",85,31,4,112,2575,16.2,82,1,"pontiac j2000 se hatchback"
"372",84,29,4,135,2525,16,82,1,"dodge aries se"
"373",90,27,4,151,2735,18,82,1,"pontiac phoenix"
"374",92,24,4,140,2865,16.4,82,1,"ford fairmont futura"
"376",74,36,4,105,1980,15.3,82,2,"volkswagen rabbit l"
"377",68,37,4,91,2025,18.2,82,3,"mazda glc custom l"
"378",68,31,4,91,1970,17.6,82,3,"mazda glc custom"
"379",63,38,4,105,2125,14.7,82,1,"plymouth horizon miser"
"380",70,36,4,98,2125,17.3,82,1,"mercury lynx l"
"381",88,36,4,120,2160,14.5,82,3,"nissan stanza xe"
"382",75,36,4,107,2205,14.5,82,3,"honda accord"
"383",70,34,4,108,2245,16.9,82,3,"toyota corolla"
"384",67,38,4,91,1965,15,82,3,"honda civic"
"385",67,32,4,91,1965,15.7,82,3,"honda civic (auto)"
"386",67,38,4,91,1995,16.2,82,3,"datsun 310 gx"
"387",110,25,6,181,2945,16.4,82,1,"buick century limited"
"388",85,38,6,262,3015,17,82,1,"oldsmobile cutlass ciera (diesel)"
"389",92,26,4,156,2585,14.5,82,1,"chrysler lebaron medallion"
"390",112,22,6,232,2835,14.7,82,1,"ford granada l"
"391",96,32,4,144,2665,13.9,82,3,"toyota celica gt"
"392",84,36,4,135,2370,13,82,1,"dodge charger 2.2"
"393",90,27,4,151,2950,17.3,82,1,"chevrolet camaro"
"394",86,27,4,140,2790,15.6,82,1,"ford mustang gl"
"395",52,44,4,97,2130,24.6,82,2,"vw pickup"
"396",84,32,4,135,2295,11.6,82,1,"dodge rampage"
"397",79,28,4,120,2625,18.6,82,1,"ford ranger"
"398",82,31,4,119,2720,19.4,82,1,"chevy s-10"
